colorIndex,hex,hue,saturation,lightness,red,green,blue
0,#21121f,307.49,0.30,0.10,33,18,31
0,#411e3c,307.49,0.37,0.19,65,30,60
0,#63275c,307.49,0.44,0.27,99,39,92
0,#892d7d,307.49,0.51,0.36,137,45,125
0,#b130a1,307.49,0.58,0.44,177,48,161
0,#d438c1,307.49,0.65,0.53,212,56,193
0,#e355d1,307.49,0.72,0.61,227,85,209
0,#ee75df,307.49,0.79,0.70,238,117,223
0,#f798eb,307.49,0.86,0.78,247,152,235
0,#fcbef5,307.49,0.92,0.87,252,190,245
0,#ffe7fc,307.49,0.99,0.95,255,231,252
1,#211218,337.49,0.30,0.10,33,18,24
1,#411e2b,337.49,0.37,0.19,65,30,43
1,#63273d,337.49,0.44,0.27,99,39,61
1,#892d4f,337.49,0.51,0.36,137,45,79
1,#b13060,337.49,0.58,0.44,177,48,96
1,#d43873,337.49,0.65,0.53,212,56,115
1,#e3558a,337.49,0.72,0.61,227,85,138
1,#ee75a3,337.49,0.79,0.70,238,117,163
1,#f798bc,337.49,0.86,0.78,247,152,188
1,#fcbed5,337.49,0.92,0.87,252,190,213
1,#ffe7f0,337.49,0.99,0.95,255,231,240
2,#211412,7.49,0.30,0.10,33,20,18
2,#41221e,7.49,0.37,0.19,65,34,30
2,#632e27,7.49,0.44,0.27,99,46,39
2,#89382d,7.49,0.51,0.36,137,56,45
2,#b14030,7.49,0.58,0.44,177,64,48
2,#d44c38,7.49,0.65,0.53,212,76,56
2,#e36755,7.49,0.72,0.61,227,103,85
2,#ee8475,7.49,0.79,0.70,238,132,117
2,#f7a498,7.49,0.86,0.78,247,164,152
2,#fcc6be,7.49,0.92,0.87,252,198,190
2,#ffeae7,7.49,0.99,0.95,255,234,231
